,acc,acc_p,acc_w,auc,auc_p,auc_w,augmentation,date,iterations,kfold_id,komentar,modality,model,name,normalization,num_of_data,size
0,0.7448979591836735,0.6734693877551021,0.2653061224489796,0.5086580086580087,0.5324675324675324,0.5151515151515151,False,2019-03-20,1000,,,['t2tsetra/t/40x40x1/'],siamese,t2tsetra_40x40x1_30090,ScaleNormalization,323,40x40x1
1,0.7959183673469388,0.7244897959183674,0.2959183673469388,0.5757575757575757,0.5649350649350648,0.551948051948052,False,2019-03-20,2000,,,['t2tsetra/t/40x40x1/'],siamese,t2tsetra_40x40x1_24089,ScaleNormalization,323,40x40x1
2,0.8061224489795918,0.7551020408163265,0.3877551020408163,0.6515151515151515,0.7402597402597404,0.593073593073593,False,2019-03-20,3000,,,['t2tsetra/t/40x40x1/'],siamese,t2tsetra_40x40x1_51626,ScaleNormalization,323,40x40x1
3,0.7551020408163265,0.6836734693877551,0.3979591836734694,0.5497835497835498,0.6428571428571428,0.5995670995670995,False,2019-03-20,4000,,,['t2tsetra/t/40x40x1/'],siamese,t2tsetra_40x40x1_96379,ScaleNormalization,323,40x40x1
4,0.7755102040816326,0.7040816326530612,0.3979591836734694,0.5974025974025974,0.6731601731601732,0.5476190476190477,False,2019-03-20,1000,,,['adc/t/40x40x1/'],siamese,adc_40x40x1_72631,ScaleNormalization,324,40x40x1
5,0.7959183673469388,0.7755102040816326,0.5408163265306123,0.6623376623376622,0.7012987012987013,0.6385281385281385,False,2019-03-20,2000,,,['adc/t/40x40x1/'],siamese,adc_40x40x1_18731,ScaleNormalization,324,40x40x1
6,0.7040816326530612,0.6836734693877551,0.5102040816326531,0.6212121212121212,0.6601731601731602,0.5844155844155845,False,2019-03-20,3000,,,['adc/t/40x40x1/'],siamese,adc_40x40x1_86012,ScaleNormalization,324,40x40x1
7,0.7959183673469388,0.7244897959183674,0.2857142857142857,0.5411255411255412,0.6168831168831169,0.5454545454545454,Elastic,2019-03-20,1000,,,"['adc/t/40x40x1/', 't2tsetra/t/40x40x1']",siamese,t2tsetra_adc_40x40x1_36217,ScaleNormalization,4098,40x40x1
8,0.7755102040816326,0.7142857142857143,0.2551020408163265,0.5108225108225108,0.5757575757575757,0.5086580086580087,Elastic,2019-03-20,2000,,,"['adc/t/40x40x1/', 't2tsetra/t/40x40x1']",siamese,t2tsetra_adc_40x40x1_47376,ScaleNormalization,4098,40x40x1
9,0.7959183673469388,0.7448979591836735,0.2551020408163265,0.5238095238095238,0.5952380952380952,0.4913419913419914,Elastic,2019-03-20,2500,,,"['adc/t/40x40x1/', 't2tsetra/t/40x40x1']",siamese,t2tsetra_adc_40x40x1_62224,ScaleNormalization,4098,40x40x1
10,0.7653061224489796,0.6938775510204082,0.3163265306122449,0.5216450216450217,0.5454545454545455,0.5303030303030303,False,2019-03-20,1000,,,"['adc/t/40x40x1/', 't2tsetra/t/40x40x1']",siamese,t2tsetra_adc_40x40x1_87634,ScaleNormalization,324,40x40x1
11,0.7653061224489796,0.7857142857142857,0.4693877551020408,0.5562770562770563,0.6558441558441559,0.5930735930735931,False,2019-03-20,2000,,,"['adc/t/40x40x1/', 't2tsetra/t/40x40x1']",siamese,t2tsetra_adc_40x40x1_45058,ScaleNormalization,324,40x40x1
12,0.7653061224489796,0.7244897959183674,0.32653061224489793,0.4870129870129871,0.5303030303030303,0.5021645021645021,False,2019-03-21,2000,,,['t2tsetra/t/28x28x1'],siamese,t2tsetra_28x28x1_49510,ScaleNormalization,324,28x28x1
13,0.7653061224489796,0.6836734693877551,0.2857142857142857,0.5735930735930737,0.5562770562770563,0.5281385281385281,False,2019-03-21,1000,,,['t2tsetra/t/28x28x1'],siamese,t2tsetra_28x28x1_72503,ScaleNormalization,324,28x28x1
